Diff,Time1,Start,End,Time2,target
128,-154.8671875,60.0,2026-06-26 09:47:00+05:30,2026-06-26 09:48:00+05:30,60.0,0
129,5.5,60.0,2026-06-26 09:48:00+05:30,2026-06-26 09:49:00+05:30,120.0,0
130,-102.0625,120.0,2026-06-26 09:49:00+05:30,2026-06-26 09:51:00+05:30,60.0,0
131,36.72265625,60.0,2026-06-26 09:51:00+05:30,2026-06-26 09:52:00+05:30,60.0,0
132,-21.3125,60.0,2026-06-26 09:52:00+05:30,2026-06-26 09:53:00+05:30,60.0,0
133,6.890625,60.0,2026-06-26 09:53:00+05:30,2026-06-26 09:54:00+05:30,120.0,0
134,-86.55859375,120.0,2026-06-26 09:54:00+05:30,2026-06-26 09:56:00+05:30,120.0,0
135,94.8671875,120.0,2026-06-26 09:56:00+05:30,2026-06-26 09:58:00+05:30,120.0,0
136,-24.30859375,120.0,2026-06-26 09:58:00+05:30,2026-06-26 10:00:00+05:30,60.0,0
137,40.5,60.0,2026-06-26 10:00:00+05:30,2026-06-26 10:01:00+05:30,180.0,1
138,-109.9296875,180.0,2026-06-26 10:01:00+05:30,2026-06-26 10:04:00+05:30,120.0,0
139,60.078125,120.0,2026-06-26 10:04:00+05:30,2026-06-26 10:06:00+05:30,120.0,0
140,-48.96875,120.0,2026-06-26 10:06:00+05:30,2026-06-26 10:08:00+05:30,120.0,0
141,58.140625,120.0,2026-06-26 10:08:00+05:30,2026-06-26 10:10:00+05:30,120.0,0
142,-43.05078125,120.0,2026-06-26 10:10:00+05:30,2026-06-26 10:12:00+05:30,120.0,0
143,46.65234375,120.0,2026-06-26 10:12:00+05:30,2026-06-26 10:14:00+05:30,360.0,2
144,-90.53125,360.0,2026-06-26 10:14:00+05:30,2026-06-26 10:20:00+05:30,120.0,0
145,20.78125,120.0,2026-06-26 10:20:00+05:30,2026-06-26 10:22:00+05:30,60.0,0
146,-40.9609375,60.0,2026-06-26 10:22:00+05:30,2026-06-26 10:23:00+05:30,360.0,2
147,59.9609375,360.0,2026-06-26 10:23:00+05:30,2026-06-26 10:29:00+05:30,60.0,0
148,-38.5234375,60.0,2026-06-26 10:29:00+05:30,2026-06-26 10:30:00+05:30,60.0,0
149,30.23046875,60.0,2026-06-26 10:30:00+05:30,2026-06-26 10:31:00+05:30,120.0,0
150,-70.33984375,120.0,2026-06-26 10:31:00+05:30,2026-06-26 10:33:00+05:30,60.0,0
151,23.73046875,60.0,2026-06-26 10:33:00+05:30,2026-06-26 10:34:00+05:30,60.0,0
152,-20.34765625,60.0,2026-06-26 10:34:00+05:30,2026-06-26 10:35:00+05:30,120.0,0
153,62.1171875,120.0,2026-06-26 10:35:00+05:30,2026-06-26 10:37:00+05:30,60.0,0
154,-52.83984375,60.0,2026-06-26 10:37:00+05:30,2026-06-26 10:38:00+05:30,120.0,0
155,95.0625,120.0,2026-06-26 10:38:00+05:30,2026-06-26 10:40:00+05:30,180.0,1
156,-15.0,180.0,2026-06-26 10:40:00+05:30,2026-06-26 10:43:00+05:30,120.0,0
157,79.56640625,120.0,2026-06-26 10:43:00+05:30,2026-06-26 10:45:00+05:30,180.0,1
